Date,Open,High,Low,Close,Adj Close,Volume
2023-07-19,28.809999,29.129999,28.570000,29.100000,29.100000,46517700
2023-07-20,29.070000,29.350000,28.879999,29.129999,29.129999,33177100
2023-07-21,29.150000,29.860001,29.129999,29.680000,29.680000,52059200
2023-07-24,29.799999,30.410000,29.760000,30.299999,30.299999,45268100
2023-07-25,30.500000,31.049999,30.200001,31.000000,31.000000,56261000
2023-07-26,30.950001,31.219999,30.629999,31.000000,31.000000,45880200
2023-07-27,30.850000,30.889999,29.379999,29.389999,29.389999,86471900
2023-07-28,29.430000,29.950001,29.320000,29.760000,29.760000,43608600
2023-07-31,30.299999,31.150000,30.299999,31.110001,31.110001,91290800
2023-08-01,31.090000,31.090000,29.950001,30.600000,30.600000,75752400
2023-08-02,30.510000,30.580000,29.799999,30.530001,30.530001,62068400
2023-08-03,30.930000,31.129999,30.620001,30.920000,30.920000,57304400
2023-08-04,30.700001,31.139999,29.740000,30.000000,30.000000,120685800
2023-08-07,29.860001,30.500000,29.860001,30.190001,30.190001,44984900
2023-08-08,29.910000,30.389999,29.719999,30.219999,30.219999,34771300
2023-08-09,30.209999,30.719999,30.160000,30.459999,30.459999,48561500
2023-08-10,null,null,null,null,null,null
